Gene_Symbol,log2FoldChange
SDC1,-1.27519143125222
CAVIN2,-3.10542620676039
SEC24B,0.967643560819055
SHCBP1,-1.69125564270259
SKP2,-0.897854816929194
SLC2A3,1.90134776702908
SLC35A3,0.829039279590088
SMC4,-0.813745492887304
SMIM19,0.781998763786463
SNHG8,0.677498595022083
SNRPG,-0.997816639458688
SPC25,-1.56047874081244
SPTSSA,-1.08177152573336
SRPK1,-0.939216676203779
SRSF7,-1.27250222681853
ST3GAL3,-5.30326119184417
STAP2,0.52868265618707
STAT5B,0.562089623065627
STIP1,-1.12522127320028
SUZ12,-1.03057286079098
TCF19,-6.2063051966958
TCTA,1.24871398795335
TFDP1,-1.34325228946698
TFPI2,1.39816664420666
TGFB2,-5.59900081172875
TIPARP,0.52062065318227
TK1,-1.24292336087489
TM9SF4,0.425097193293426
TMEM230,0.803044229234975
TMEM97,-0.669562677113887
TOP2A,-1.47403354856253
TOPBP1,-0.815868666592297
TPX2,-0.90541478087511
TRAPPC11,0.56763351151571
TRIB1,0.860386636900433
TSKU,1.26886721541687
TTC3,0.643837259190023
UBE2G1,-0.797503834847203
UBE2L6,0.642145089692552
UBR7,-1.22780317803618
UGDH,1.07228002868395
USO1,1.7885657127724
USP1,-0.813080395022822
VAT1,1.16181718951823
SELENOS,0.774484816958169
WDR48,1.74066229389634
XBP1,-5.59631518112667
XRCC2,-1.34658052355405
YPEL5,1.79081526767254
YWHAH,-1.27723887733802
AAK1,-1.60805948636239
MFSD11,0.719903565604322
ICA1,1.3578195882495
ZBTB1,0.764130102689924
MYOF,0.930245379958999
ZNF514,1.66834491925587
BICRAL,0.88680804661954
FBXO5,-0.690665201650638
FDXACB1,-5.72444860572315
TCAIM,1.02670085347986
SCARA3,-1.27770974942571
KLHL23,-0.940970006804158
CC2D2A,0.591309796230766
ANP32E,-1.17345785463848
SETD2,0.627360236401279
VTI1A,-0.634774912781614
PSAT1,-1.70134114374745
MASTL,-1.27143052639767
ZNF277,1.00478913240702
RIBC2,-5.99684851771521
CEBPB,0.955776564250885
HAS2,-5.82332499518682
CMTM6,-0.765248879504757
UBE2W,0.590619697269725
PLD1,1.68806190749294
ZMYM5,0.706726718572715
PIGA,-1.01075349094164
LYST,0.876808914402266
CRLF3,-0.565629024441152
SMCR8,0.749294042504273
SCRN3,0.544474674131984
GSTCD,-0.862612980721601
PCF11,0.990812272778592
XRCC3,-1.32041233231148
MICU3,7.11989867507763
TRAF3,-5.38613263501872
PRPF40A,-0.613864342716297
LCLAT1,-0.478182351402166
ALDH6A1,0.82618713185775
PRAG1,1.17257348562647
F2RL2,-5.57841596777193
CYB5R1,0.957725023236019
VEPH1,-5.16316083306732
SEL1L,0.640860509705553
NEK6,0.774404853050009
RRP1,-0.588138875468766
MIA2,1.06647672644148
RAF1,-1.11782246293733
TMEM185A,0.839126335416383
RABL2B,0.995861021145003
NGLY1,-5.74749682679978
RHPN2,-1.66724814680286
RFXANK,1.46520047073665
COL9A2,-5.55314940559232
SLC31A1,-0.637006940158817
BACH1,1.06735117532185
GATD3A,0.543924107380495
GEMIN8,1.18754794271678
GTF2IRD1,0.433024483488158
GFM1,-1.12546569613855
ZMYND19,-1.03682351613346
TIAL1,-0.620140277693104
HSPH1,-0.527006640400176
TRAF3IP2,1.50663832985281
PLEKHA7,1.19498123039251
H4C2,-1.61298692701972
H4C6,-1.01487284167644
PACS2,0.961140973845432
PARP12,1.16759526470403
MEIS2,-5.39770062177907
ZNF530,-1.36310342293471
PHF12,-0.579061589664356
PAQR3,-1.07045683733545
CCDC15,-2.59247001810364
NTN4,1.13722838110314
ZBTB41,0.717578480913956
TTC8,0.60696337508613
VASP,-0.726889371876229
MPDU1,-0.772892166281508
PARP4,0.472070668693824
STAT6,1.14509381070825
VPS35L,1.67472716367509
TBC1D14,0.915364378685834
LRPPRC,0.567861915909831
EDEM2,-5.58761618085083
RNF144B,-6.25410833396978
GUCY1B1,-5.67775891519493
CITED1,-2.62154819515241
CDA,0.477938867463795
MFHAS1,-0.950555360769914
CDC23,-0.548623991583947
APBB1,0.580560297009306
CYP27A1,0.943550330771246
PAQR8,1.27633619692075
HAUS1,-1.08996518895545
KLF10,0.759600073324793
