,sample_name,sample,compound,dose,replicate
96,MCF7_TOR1_10uM-1,MCF7,TOR1,10.0,1
97,MCF7_TOR1_10uM-2,MCF7,TOR1,10.0,2
98,MCF7_TOR1_10uM-3,MCF7,TOR1,10.0,3
99,MCF7_TOR1_1uM-1,MCF7,TOR1,1.0,1
100,MCF7_TOR1_1uM-2,MCF7,TOR1,1.0,2
101,MCF7_TOR1_1uM-3,MCF7,TOR1,1.0,3
102,MCF7_TOR2_0p1uM-1,MCF7,TOR2,0.1,1
103,MCF7_TOR2_0p1uM-2,MCF7,TOR2,0.1,2
104,MCF7_TOR2_0p1uM-3,MCF7,TOR2,0.1,3
105,MCF7_TOR2_10uM-1,MCF7,TOR2,10.0,1
106,MCF7_TOR2_10uM-2,MCF7,TOR2,10.0,2
107,MCF7_TOR2_10uM-3,MCF7,TOR2,10.0,3
108,MCF7_TOR2_1uM-1,MCF7,TOR2,1.0,1
109,MCF7_TOR2_1uM-2,MCF7,TOR2,1.0,2
110,MCF7_TOR2_1uM-3,MCF7,TOR2,1.0,3
111,MCF7_WYE_0p1uM-1,MCF7,WYE,0.1,1
112,MCF7_WYE_0p1uM-2,MCF7,WYE,0.1,2
113,MCF7_WYE_0p1uM-3,MCF7,WYE,0.1,3
114,MCF7_WYE_10uM-1,MCF7,WYE,10.0,1
115,MCF7_WYE_10uM-2,MCF7,WYE,10.0,2
116,MCF7_WYE_10uM-3,MCF7,WYE,10.0,3
117,MCF7_WYE_1uM-1,MCF7,WYE,1.0,1
118,MCF7_WYE_1uM-2,MCF7,WYE,1.0,2
119,MCF7_WYE_1uM-3,MCF7,WYE,1.0,3
120,MCF7_ZOTA_0p1uM-1,MCF7,ZOTA,0.1,1
121,MCF7_ZOTA_0p1uM-2,MCF7,ZOTA,0.1,2
122,MCF7_ZOTA_0p1uM-3,MCF7,ZOTA,0.1,3
123,MCF7_ZOTA_10uM-1,MCF7,ZOTA,10.0,1
124,MCF7_ZOTA_10uM-2,MCF7,ZOTA,10.0,2
125,MCF7_ZOTA_10uM-3,MCF7,ZOTA,10.0,3
126,MCF7_ZOTA_1uM-1,MCF7,ZOTA,1.0,1
127,MCF7_ZOTA_1uM-2,MCF7,ZOTA,1.0,2
128,MCF7_ZOTA_1uM-3,MCF7,ZOTA,1.0,3
129,MDA_AZD_0p1uM-1,MDA,AZD,0.1,1
130,MDA_AZD_0p1uM-2,MDA,AZD,0.1,2
131,MDA_AZD_0p1uM-3,MDA,AZD,0.1,3
132,MDA_AZD_10uM-1,MDA,AZD,10.0,1
133,MDA_AZD_10uM-2,MDA,AZD,10.0,2
134,MDA_AZD_10uM-3,MDA,AZD,10.0,3
135,MDA_AZD_1uM-1,MDA,AZD,1.0,1
136,MDA_AZD_1uM-2,MDA,AZD,1.0,2
137,MDA_AZD_1uM-3,MDA,AZD,1.0,3
138,MDA_DACTO_0p1uM-1,MDA,DACTO,0.1,1
139,MDA_DACTO_0p1uM-2,MDA,DACTO,0.1,2
140,MDA_DACTO_0p1uM-3,MDA,DACTO,0.1,3
141,MDA_DACTO_10uM-1,MDA,DACTO,10.0,1
142,MDA_DACTO_10uM-2,MDA,DACTO,10.0,2
143,MDA_DACTO_10uM-3,MDA,DACTO,10.0,3
144,MDA_DACTO_1uM-1,MDA,DACTO,1.0,1
145,MDA_DACTO_1uM-2,MDA,DACTO,1.0,2
