gene,dataset_name,dataset_dose_name,dataset_dose_units,dataset_response_name,dataset_response_units,dataset_doses,dataset_ns,dataset_stdevs,dataset_means,bmds_model_index,model_name,bmr,distribution,direction,confidence_level,tail_probability,degree,model_class,bmdl,bmd,bmdu,aic,loglikelihood,p_value1,p_value2,p_value3,p_value4,model_dof,residual_of_interest,residual_at_lowest_dose,recommended,recommendation_bin,recommendation_notes,selected
ABHD1_88958,ABHD1_88958,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.8726597403559407,0.7565819772557452,0.6343779657350556,0.2634075895667071","-0.23350888537428116,0.025475246539732765,0.9357677708180088,1.5227359062240862",0,Linear,1.0 Standard Deviation,Normal + Constant variance,Up (↑),0.95,0.01,1,frequentist_unrestricted,3.0589204304407316,4.772051572799683,10.726741649674755,55.3893404914721,-24.69467024573605,0.004159288681113038,0.12467035224726053,0.12467035224726053,0.10973268829002614,2.0,1.7902164522960433,-0.8583189219323778,True,Recommended - Lowest AIC,,False
ABI1_18228,ABI1_18228,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.23308552293467244,0.07227061128580295,0.2477880010320057,0.3677570469140143","-0.017313561717141216,-0.1332230998924537,-0.1430771644175309,0.7458991332926642",1,Polynomial 2,1.0 Standard Deviation,Normal + Constant variance,Up (↑),0.95,0.01,2,frequentist_restricted,2.211593809956475,5.292255878448486,6.719400471218295,2.9676568033423654,1.5161715983288173,0.0001537362517288754,0.1177896543288085,0.1177896543288085,0.527598260763182,2.0,-0.710346158243208,0.6382455866469781,True,Recommended - Lowest AIC,,False
ABRAXAS1_16175,ABRAXAS1_16175,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.6050281107650943,0.7984205923326662,0.2900200338237739,0.35345800323293386","-0.11483379937295284,-0.41936409328277136,0.48896310635161494,1.6766899902384742",0,Linear,1.0 Standard Deviation,Normal + Constant variance,Up (↑),0.95,0.01,1,frequentist_unrestricted,2.1757727199165866,3.073837161064148,5.156678970516031,41.18104354395486,-17.59052177197743,0.00042443564518224175,0.2161058912830992,0.2161058912830992,0.2347585573003721,2.0,1.2751305719850026,-0.06331781775347978,True,Recommended - Lowest AIC,,False
ABT1_21258,ABT1_21258,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.44830622832461375,0.5062336355485191,0.055669237402370425,0.5379209439027648","-0.06287158560527749,-0.16291626356985753,0.05372976819523793,-0.8877706761696368",0,Linear,1.0 Standard Deviation,Normal + Nonconstant variance,Down (↓),0.95,0.01,1,frequentist_unrestricted,8.021815857731497,8.041074275970459,8.069839857531054,24.511745866481878,-8.255872933240939,0.0033596358925751524,0.016386657655025783,0.16400576034486813,0.30370429058662607,2.0,-1.0336486959902191,-0.9155148412991476,True,Recommended - Lowest AIC,,False
ACACA_91723,ACACA_91723,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.17842212593668708,0.5269743034997442,0.6265688587245313,0.9522226270638137","-0.01000383356065819,-0.018841379577085832,-0.417770584387504,-1.7442567475980464",0,Linear,1.0 Standard Deviation,Normal + Nonconstant variance,Down (↓),0.95,0.01,1,frequentist_unrestricted,0.9224952053979594,0.9572696685791016,0.9627097430248309,15.238608503918805,-3.6193042519594023,5.695648060966008e-07,0.0015045171515093436,0.7916482172757202,0.9148234448456103,2.0,-0.7210385240290061,-0.20281798012953556,True,Recommended - Lowest AIC,,False
ADCY7_26803,ADCY7_26803,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.5751861057536924,0.8853043232758153,0.37351139633019903,0.33350378258090474","-0.0910780403075709,-0.07927562422904377,0.6538152311606077,1.9099391086889648",0,Linear,1.0 Standard Deviation,Normal + Constant variance,Up (↑),0.95,0.01,1,frequentist_unrestricted,2.0291586598203497,2.826312780380249,4.585435222988305,40.87776880871375,-17.438884404356877,0.00025871729193027715,0.27923294849096103,0.27923294849096103,0.2675042776069141,2.0,1.45384609970017,-0.514727931411593,True,Recommended - Lowest AIC,,False
ADGRL1_23280,ADGRL1_23280,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.18065526540085805,0.11314636832645278,0.23909811587695276,0.16559281051955826","-0.010177373632683414,0.05043004392472272,-0.14827853480864325,-0.6091992104178809",2,Power,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,0,frequentist_restricted,1.9874891267156383,2.7576055239065216,9.595565405864962,-9.58875757173214,7.79437878586607,0.0008579614202915975,0.6009608415529455,0.6009608415529455,0.559484238570852,2.0,-0.7979964928521435,0.013425658032458317,True,Recommended - Lowest AIC,,False
AEN_18198,AEN_18198,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.36296459735713876,0.4424026859478787,0.3892930987336588,0.8190139430192325","-0.042612374561027955,0.028244131539641986,-0.1745098003817683,-1.54696794770983",0,Linear,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,1,frequentist_unrestricted,1.9422866011895419,2.6853346824645996,4.278536654456924,27.986974984176364,-10.993487492088182,0.0006071024379965539,0.38362377326472563,0.38362377326472563,0.9479074612686618,2.0,0.011220838701482907,-0.14887196794435312,True,Recommended - Lowest AIC,,False
AFG1L_23517,AFG1L_23517,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.329192404622239,0.20231579583784245,0.3777272154168442,0.5605562259845012","-0.0327937593869335,0.15098405932570205,0.690815135185633,1.060058012553082",3,Hill,1.0 Standard Deviation,Normal + Constant variance,Up (↑),0.95,0.01,0,frequentist_restricted,0.057731608640819346,0.2256688141628454,0.9658285729282158,20.106978432270477,-6.0534892161352385,0.00080310939025241,0.42895710897114514,0.42895710897114514,0.9353855892827769,1.0,0.06579710219693688,-0.021312873458496952,True,Recommended - Lowest AIC,BMD/BMDL ratio > 3.0,False
ALG1_13319,ALG1_13319,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.3904317989183291,0.19816207003017805,0.5465236569739065,0.2513585352752747","-0.046104976977543156,0.1243655626068277,0.2793831116224245,-0.7208516095084412",1,Polynomial 2,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,2,frequentist_restricted,3.4072563110395655,6.933698654174805,10.373898322768369,23.07380319315836,-8.53690159657918,0.01825802566384538,0.25948545276000234,0.25948545276000234,0.30917382179648467,2.0,-0.011939673151470076,-0.7962341073982624,True,Recommended - Lowest AIC,,False
