gene,bmd,bmdl,bmdu,model,aic,pvalue,converged,error
ALS2_10879,4.865503311157227,3.102733695943659,11.15607150811644,Linear,15.843112370182919,0.2476389108423046,True,
ALYREF_93130,,,,,,,False,No valid model fit
AMD1_247,,,,,,,False,No valid model fit
AMIGO1_17797,,,,,,,False,No valid model fit
AMOTL1_18638,4.7345781326293945,3.0417650318369005,10.55986621645175,Linear,26.768194326365954,0.7269856183741117,True,
AMOT_12156,,,,,,,False,No valid model fit
AMPH_16332,,,,,,,False,No valid model fit
AMT_11074,0.13047157189720324,0.01634443403296115,1.0741276866478415,Hill,43.67825979413938,0.78329583267312,True,
AMY1B_33725,,,,,,,False,No valid model fit
AMY2A_13847,,,,,,,False,No valid model fit
AMY2B_26823,,,,,,,False,No valid model fit
AMZ2_93171,,,,,,,False,No valid model fit
AMZ2_93173,2.9924464225769043,0.5865274541017998,10.264900986806731,Exponential 5,19.34082907071244,0.11114545833583223,True,
ANAPC7_22450,,,,,,,False,No valid model fit
ANKFY1_11606,,,,,,,False,No valid model fit
ANKRA2_22381,,,,,,,False,No valid model fit
ANKRD10_277,,,,,,,False,No valid model fit
ANKRD17_280,,,,,,,False,No valid model fit
ANKRD24_22938,,,,,,,False,No valid model fit
ANKRD27_287,,,,,,,False,No valid model fit
ANKRD37_14638,,,,,,,False,No valid model fit
ANKS1A_20264,2.9343020915985107,2.0936263703758278,4.82983962170423,Linear,25.29254667802738,0.7220949808951543,True,
ANXA1_24071,,,,,,,False,No valid model fit
AP002495.2_88210,,,,,,,False,No valid model fit
AP1G1_21853,2.6682090759277344,1.4271696674819858,6.598537000604625,Linear,34.87297807139553,0.11726255032628496,True,
AP1M1_12885,,,,,,,False,No valid model fit
AP1S2_21655,,,,,,,False,No valid model fit
AP1S3_12964,,,,,,,False,No valid model fit
AP2A1_18672,,,,,,,False,No valid model fit
AP2M1_322,,,,,,,False,No valid model fit
AP3M1_15244,,,,,,,False,No valid model fit
AP3S1_93087,6.925089359283447,3.079533448688798,10.48028553581014,Polynomial 2,15.438455092340881,0.9198922243354528,True,
APEX2_33605,4.781050682067871,3.0631018647625696,10.766672483062528,Linear,10.628464669712573,0.26057561993125733,True,
APLF_17330,,,,,,,False,No valid model fit
APOBEC3F_23287,,,,,,,False,No valid model fit
APOBEC3F_26841,,,,,,,False,No valid model fit
APOC1_19115,,,,,,,False,No valid model fit
APOLD1_17472,,,,,,,False,No valid model fit
APPL1_371,,,,,,,False,No valid model fit
APRT_11072,,,,,,,False,No valid model fit
ARFGAP1_393,,,,,,,False,No valid model fit
ARFGEF2_25935,4.324735403060913,2.846323385799356,8.895097583740517,Linear,48.76834396715153,0.6142143532089828,True,
ARFGEF3_19891,5.037224938521765,3.179712252307918,9.767179193703864,Power,52.12545195352033,0.7388752533342982,True,
ARG2_19025,0.305131787228233,0.05071819154443192,1.865683710165331,Hill,17.506808795479124,0.8269054295871846,True,
ARGLU1_24493,,,,,,,False,No valid model fit
ARHGAP10_26108,4.572903924368854,0.26936566840178755,124.26904606859422,Hill,40.820030534518594,0.3647886344756136,True,
ARHGAP11A_26843,,,,,,,False,No valid model fit
ARHGAP17_12994,,,,,,,False,No valid model fit
ARHGAP19_17445,6.186466217041016,2.712360245983039,8.460555014137395,Polynomial 2,9.818364769424653,0.617208094969005,True,
ARHGAP8_26848,,,,,,,False,No valid model fit
ARHGDIA_17417,4.391495611317449,2.878918953075699,9.97621024010131,Power,60.164220489577886,0.12053637252173732,True,
ARHGEF18_12274,,,,,,,False,No valid model fit
ARHGEF2_423,,,,,,,False,No valid model fit
ARID3A_18669,,,,,,,False,No valid model fit
ARID5A_11516,,,,,,,False,No valid model fit
ARIH2OS_13921,,,,,,,False,No valid model fit
ARL10_15800,,,,,,,False,No valid model fit
ARL13B_26850,,,,,,,False,No valid model fit
ARL17A_26854,,,,,,,False,No valid model fit
ARL17B_26855,,,,,,,False,No valid model fit
ARL4D_24864,1.679014558329288,0.205624381372624,9.939033472999,Hill,38.31145049182918,0.7323768778910735,True,
ARL5A_11913,,,,,,,False,No valid model fit
ARL6IP5_445,1.5907049179077148,1.4356403401219284,3.266313625634583,Linear,15.991114945651546,0.3282579692664681,True,
ARL8B_92746,,,,,,,False,No valid model fit
ARMC5_26857,5.020403861999512,3.1721352018058298,11.907645897971719,Linear,39.62707147175229,0.2897307878451878,True,
ARMC6_24630,3.4917080402374268,2.4130984043461807,6.228833262894577,Linear,31.105766542079174,0.717383597749403,True,
ARMC8_92584,,,,,,,False,No valid model fit
ARMCX2_11749,,,,,,,False,No valid model fit
ARMCX4_18635,,,,,,,False,No valid model fit
ARMH1_19954,3.9288437366485596,2.646774954918839,7.525489970325806,Linear,70.29109627024258,0.5984369714294875,True,
ARNT2_89371,,,,,,,False,No valid model fit
ARPC1B_19481,,,,,,,False,No valid model fit
ARPC2_17930,,,,,,,False,No valid model fit
ARPC3_92567,,,,,,,False,No valid model fit
ARPIN_33565,,,,,,,False,No valid model fit
ARRB1_22993,4.21937455442955,2.7947407030616516,9.91161126893205,Power,24.79847704853959,0.22761889805279245,True,
ARRDC1_88477,,,,,,,False,No valid model fit
ARRDC4_12510,,,,,,,False,No valid model fit
AS3MT_33947,,,,,,,False,No valid model fit
ASB8_24963,1.0991489576214122,0.19648711079031905,9.577764415012537,Hill,11.792008365256876,0.21449282709214212,True,
ASF1A_18396,,,,,,,False,No valid model fit
ASIC1_24534,,,,,,,False,No valid model fit
ASNS_12040,,,,,,,False,No valid model fit
ASTN2_14623,,,,,,,False,No valid model fit
ASXL3_25840,,,,,,,False,No valid model fit
ATAD3B_25485,0.541532717174105,0.05766670681582109,4.38579134719147,Hill,32.52825108252482,0.582502369332959,True,
ATAD5_21054,,,,,,,False,No valid model fit
ATE1_13650,,,,,,,False,No valid model fit
ATF3_499,,,,,,,False,No valid model fit
ATF5_501,,,,,,,False,No valid model fit
ATF6B_503,,,,,,,False,No valid model fit
ATF7_20880,,,,,,,False,No valid model fit
ATG101_12980,0.8717764037798341,0.08723374383147356,9.531172200061443,Hill,37.30332533318676,0.12618797563400208,True,
ATG10_24588,,,,,,,False,No valid model fit
ATG14_17494,,,,,,,False,No valid model fit
ATG16L2_90808,,,,,,,False,No valid model fit
ATG16L2_91525,,,,,,,False,No valid model fit
ATG16L2_91674,,,,,,,False,No valid model fit
ATIC_507,,,,,,,False,No valid model fit
ATL1_20091,,,,,,,False,No valid model fit
ATL3_18610,,,,,,,False,No valid model fit
ATN1_16723,,,,,,,False,No valid model fit
ATP11C_19755,,,,,,,False,No valid model fit
ATP1A1_12191,,,,,,,False,No valid model fit
ATP2B4_89868,,,,,,,False,No valid model fit
ATP5MC3_546,,,,,,,False,No valid model fit
ATP5MD_16099,,,,,,,False,No valid model fit
ATP5PF_87731,,,,,,,False,No valid model fit
ATP6AP1L_28804,,,,,,,False,No valid model fit
ATP6V0A1_11775,,,,,,,False,No valid model fit
ATP6V0E1_23077,,,,,,,False,No valid model fit
ATP6V1D_574,,,,,,,False,No valid model fit
ATP6V1E1_92715,,,,,,,False,No valid model fit
ATP9A_15812,0.061445473509718365,0.010844314088228906,0.3726110557413035,Hill,16.270671091114853,0.5434865930909585,True,
ATPAF1_18721,,,,,,,False,No valid model fit
ATRIP_90107,,,,,,,False,No valid model fit
ATRN_14560,,,,,,,False,No valid model fit
ATXN1L_13638,,,,,,,False,No valid model fit
ATXN2L_93315,,,,,,,False,No valid model fit
ATXN7L3B_21077,,,,,,,False,No valid model fit
AUP1_25968,,,,,,,False,No valid model fit
AUTS2_29029,,,,,,,False,No valid model fit
AXIN1_87624,,,,,,,False,No valid model fit
AXL_16141,,,,,,,False,No valid model fit
AZI2_26875,4.172606468200684,2.7715833656381688,8.34376484279626,Linear,14.615192970016263,0.2026639673408599,True,
B3GALT4_88018,,,,,,,False,No valid model fit
B3GAT3_90741,5.922949314117432,2.652815173633467,7.8993599362356095,Polynomial 2,19.069641445693343,0.584665761217916,True,
B3GNT10_87901,,,,,,,False,No valid model fit
B4GALT6_20855,,,,,,,False,No valid model fit
BAG1_18045,,,,,,,False,No valid model fit
BAG2_12209,,,,,,,False,No valid model fit
BAIAP2_26196,,,,,,,False,No valid model fit
BAMBI_634,,,,,,,False,No valid model fit
BARX1_14093,,,,,,,False,No valid model fit
BASP1_25661,,,,,,,False,No valid model fit
BBC3_25556,,,,,,,False,No valid model fit
BBIP1_23730,,,,,,,False,No valid model fit
BBS12_22121,,,,,,,False,No valid model fit
BBS1_24145,3.2364320755004883,2.270660065141194,7.373036141959939,Polynomial 2,42.33299275392903,0.8742159294505873,True,
BBS2_20596,4.672479629516602,3.013117238487581,10.28820303372578,Linear,40.38979348056532,0.692993976675752,True,
BBS4_91274,,,,,,,False,No valid model fit
BBS4_91564,6.460516452789307,2.952788492911888,9.095468129756071,Polynomial 2,7.935990884478279,0.7081916756043738,True,
BBS5_91273,,,,,,,False,No valid model fit
BCAP31_644,1.408538325057205,0.38678036189277093,9.60676214680176,Hill,7.674057492791566,0.8475735569652788,True,
BCAS2_92601,,,,,,,False,No valid model fit
BCAT1_25914,,,,,,,False,No valid model fit
BCCIP_25450,,,,,,,False,No valid model fit
BCHE_16309,,,,,,,False,No valid model fit
BCKDHA_24792,,,,,,,False,No valid model fit
BCL2L12_92683,,,,,,,False,No valid model fit
BCL2L2_665,,,,,,,False,No valid model fit
BCL6B_26892,,,,,,,False,No valid model fit
BCL9_18042,,,,,,,False,No valid model fit
BCLAF3_23768,,,,,,,False,No valid model fit
