gene,model_name,recommended,bmd,bmdl,bmdu,aic,p_value1,p_value2,p_value3,p_value4,bmr,loglikelihood
AAMP_2,Polynomial 2,True,5.510551929473877,2.1930935252709696,7.103494824553337,17.237472268322346,0.0016206704080393708,0.462510297897452,0.462510297897452,0.5997583410952996,1.0 Standard Deviation,-5.618736134161173
AAR2_25893,Hill,True,0.4014936475894903,0.06819727683319149,2.516198378572967,59.121214274894974,0.0059462159468463005,0.24785129491044866,0.24785129491044866,0.9268979191822581,1.0 Standard Deviation,-25.560607137447487
AATF_26432,Hill,True,0.9115902769179527,0.16933024604432023,9.48404853367884,39.03773119875166,0.0021158569707862007,0.2006028301363021,0.2006028301363021,0.34416247288839286,1.0 Standard Deviation,-15.518865599375829
ABCA7_19998,Linear,True,6.509376764297485,3.774457020959851,23.37737569792512,44.438046839544874,0.028379930400428632,0.10368380368683316,0.10368380368683316,0.25383756287335324,1.0 Standard Deviation,-19.219023419772437
ABCB7_19494,Power,True,4.286141183388854,2.8275094471832416,9.860931846526812,40.463657652460384,0.017439767216473334,0.3441489454354151,0.3441489454354151,0.4572695661461801,1.0 Standard Deviation,-17.231828826230192
ABCB9_91718,Power,True,5.831112379542699,3.5150316215481174,16.9363952907247,20.732795274298454,0.02120646585014052,0.22863501987178114,0.22863501987178114,0.11951782113979648,1.0 Standard Deviation,-7.366397637149228
ABCC1_15868,Linear,True,1.788318157196045,1.0272330566980543,2.909579598870589,7.6550920356537775,8.438923265963183e-06,0.008046623233895156,0.1139209454252047,0.6114995689259628,1.0 Standard Deviation,0.17245398217311125
ABCC6_20229,Linear,True,4.8149049282073975,3.0786588551472343,10.920822060729996,46.2170656198639,0.04295525010838952,0.3670531897649353,0.3670531897649353,0.5678339087619941,1.0 Standard Deviation,-20.10853280993195
ABCE1_32,Linear,True,5.069742202758789,3.1940176950151358,12.159246702040104,37.34939370101346,0.021412039452906484,0.2493231692515765,0.2493231692515765,0.25389976319680585,1.0 Standard Deviation,-15.67469685050673
ABCF2_92347,Polynomial 2,True,6.469675302505493,3.0820767492524275,9.117858478417936,34.402675417336894,0.010062736352463353,0.3149024998261507,0.3149024998261507,0.3414781580423035,1.0 Standard Deviation,-14.201337708668447
ABHD1_88958,Linear,True,4.772051572799683,3.0589204304407316,10.726741649674755,55.3893404914721,0.004159288681113038,0.12467035224726053,0.12467035224726053,0.10973268829002614,1.0 Standard Deviation,-24.69467024573605
ABI1_18228,Polynomial 2,True,5.292255878448486,2.211593809956475,6.719400471218295,2.9676568033423654,0.0001537362517288754,0.1177896543288085,0.1177896543288085,0.527598260763182,1.0 Standard Deviation,1.5161715983288173
ABRAXAS1_16175,Linear,True,3.073837161064148,2.1757727199165866,5.156678970516031,41.18104354395486,0.00042443564518224175,0.2161058912830992,0.2161058912830992,0.2347585573003721,1.0 Standard Deviation,-17.59052177197743
ABT1_21258,Linear,True,8.041074275970459,8.021815857731497,8.069839857531054,24.511745866481878,0.0033596358925751524,0.016386657655025783,0.16400576034486813,0.30370429058662607,1.0 Standard Deviation,-8.255872933240939
ACACA_91723,Linear,True,0.9572696685791016,0.9224952053979594,0.9627097430248309,15.238608503918805,5.695648060966008e-07,0.0015045171515093436,0.7916482172757202,0.9148234448456103,1.0 Standard Deviation,-3.6193042519594023
ADCY7_26803,Linear,True,2.826312780380249,2.0291586598203497,4.585435222988305,40.87776880871375,0.00025871729193027715,0.27923294849096103,0.27923294849096103,0.2675042776069141,1.0 Standard Deviation,-17.438884404356877
ADGRL1_23280,Power,True,2.7576055239065216,1.9874891267156383,9.595565405864962,-9.58875757173214,0.0008579614202915975,0.6009608415529455,0.6009608415529455,0.559484238570852,1.0 Standard Deviation,7.79437878586607
AEN_18198,Linear,True,2.6853346824645996,1.9422866011895419,4.278536654456924,27.986974984176364,0.0006071024379965539,0.38362377326472563,0.38362377326472563,0.9479074612686618,1.0 Standard Deviation,-10.993487492088182
AFG1L_23517,Hill,True,0.2256688141628454,0.057731608640819346,0.9658285729282158,20.106978432270477,0.00080310939025241,0.42895710897114514,0.42895710897114514,0.9353855892827769,1.0 Standard Deviation,-6.0534892161352385
ALG1_13319,Polynomial 2,True,6.933698654174805,3.4072563110395655,10.373898322768369,23.07380319315836,0.01825802566384538,0.25948545276000234,0.25948545276000234,0.30917382179648467,1.0 Standard Deviation,-8.53690159657918
ALKBH1_88236,Power,True,5.1378611483905745,3.2237184518946513,10.22199862052882,-4.399728197120867,0.03036131307389711,0.5718160240968606,0.5718160240968606,0.1280875823915021,1.0 Standard Deviation,5.199864098560433
ALS2_10879,Linear,True,4.865503311157227,3.102733695943659,11.15607150811644,15.843112370182919,0.015135884228340335,0.22127146149525645,0.22127146149525645,0.2476389108423046,1.0 Standard Deviation,-4.921556185091459
AMOTL1_18638,Linear,True,4.7345781326293945,3.0417650318369005,10.55986621645175,26.768194326365954,0.03185377279014445,0.23881585674741124,0.23881585674741124,0.7269856183741117,1.0 Standard Deviation,-10.384097163182977
AMT_11074,Hill,True,0.13047157189720324,0.01634443403296115,1.0741276866478415,43.67825979413938,0.0024251223534101918,0.13772597543628862,0.13772597543628862,0.78329583267312,1.0 Standard Deviation,-17.83912989706969
AMZ2_93173,Exponential 5,True,2.9924464225769043,0.5865274541017998,10.264900986806731,19.34082907071244,0.034352309461980424,0.3320720193814717,0.3320720193814717,0.11114545833583223,1.0 Standard Deviation,-5.670414535356221
ANKS1A_20264,Linear,True,2.9343020915985107,2.0936263703758278,4.82983962170423,25.29254667802738,0.0003747568814953528,0.11724353720409475,0.11724353720409475,0.7220949808951543,1.0 Standard Deviation,-9.64627333901369
AP1G1_21853,Linear,True,2.6682090759277344,1.4271696674819858,6.598537000604625,34.87297807139553,0.0010664230912863504,0.044982109406161985,0.056638718419705136,0.11726255032628496,1.0 Standard Deviation,-13.436489035697765
AP3S1_93087,Polynomial 2,True,6.925089359283447,3.079533448688798,10.48028553581014,15.438455092340881,0.08670063623428881,0.583384482423268,0.583384482423268,0.9198922243354528,1.0 Standard Deviation,-4.7192275461704405
APEX2_33605,Linear,True,4.781050682067871,3.0631018647625696,10.766672483062528,10.628464669712573,0.013979117647498485,0.2160544228126351,0.2160544228126351,0.26057561993125733,1.0 Standard Deviation,-2.3142323348562863
ARFGEF2_25935,Linear,True,4.324735403060913,2.846323385799356,8.895097583740517,48.76834396715153,0.019041692688875234,0.27985664622012907,0.27985664622012907,0.6142143532089828,1.0 Standard Deviation,-21.384171983575765
ARFGEF3_19891,Power,True,5.037224938521765,3.179712252307918,9.767179193703864,52.12545195352033,0.04390748243715037,0.23515822142901643,0.23515822142901643,0.7388752533342982,1.0 Standard Deviation,-23.062725976760166
ARG2_19025,Hill,True,0.305131787228233,0.05071819154443192,1.865683710165331,17.506808795479124,0.005729680591306741,0.3366987691051264,0.3366987691051264,0.8269054295871846,1.0 Standard Deviation,-4.753404397739562
