"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2M_1",0,NA,NA,NA,NA,NA
"AAMP_2",302.674304064188,0.0796389137371318,0.245687816342667,0.324146776680441,0.745826914406627,0.880415771895325
"AARS1_3",169.933838751611,-0.143216373165803,0.351129661545615,-0.407873184325666,0.683366780765697,0.854769462874995
"AATF_4",31.1943861184783,0.299786431228562,0.504935618233232,0.59371218904603,0.552704629109511,0.778666257706413
"ABCB1_12",0,NA,NA,NA,NA,NA
"ABCC2_22",1.83510247583336,-3.31828069796365,3.72861833829058,-0.889949143865701,0.373493194137941,0.646230687839208
"ABCC5_26",328.144148036153,0.935243138937341,0.439071352093841,2.13004819029381,0.0331676350259953,0.148657405117727
"ABCE1_32",60.0184831458883,-0.660956829106161,0.361734483999131,-1.82718778093534,0.0676715404277335,0.240548137954294
"ABCF1_35",742.939142459798,-0.534531769833587,0.131620805439961,-4.0611495123954,4.88316852521216e-05,0.00114186956973339
"ABCF3_36",55.4275468795135,0.0664618775430384,0.366156329255943,0.181512300164506,0.855965479376171,0.936654299438781
"ABCG1_37",0,NA,NA,NA,NA,NA
"ABCC3_38",7.01532506538343,2.18324358983628,1.94602959303335,1.12189639749166,0.26190649258823,0.534942156249613
"ABCG2_39",77.6071976327872,0.580559795492419,0.308822490667819,1.87991423240249,0.0601197678847234,0.222540639676542
"ABCG2_40",0,NA,NA,NA,NA,NA
"ABCG2_41",36.5180880568367,0.656883647186497,0.341760045074642,1.92206098007457,0.0545980851545392,0.207610298604046
"ABHD6_45",111.756377016917,0.137719139865909,0.271625751138799,0.507017980764038,0.612142202365213,0.816147678477064
"ABL1_46",11.4270519740242,-0.368841528422315,1.15117201166893,-0.320405225877219,0.748661164522751,0.88174565921801
"ACADL_49",0,NA,NA,NA,NA,NA
"ACAT2_56",148.527903345433,-0.755892964737599,0.385383983609963,-1.96140212589275,0.0498321322104647,0.194997033125473
"ACBD3_59",127.866010481279,-0.178150915486461,0.172886559124353,-1.03044977231759,0.302798918975031,0.581922755880047
"ACD_60",26.5981968699955,-0.14250503022046,0.334136724855406,-0.426487182102258,0.669752886111592,0.846284938978897
"ACE_61",0,NA,NA,NA,NA,NA
"ACHE_63",0,NA,NA,NA,NA,NA
"ACLY_66",234.030708171956,-0.518887121979845,0.451520943744164,-1.14919834654193,0.250474202525889,0.52135592628404
"ACOT9_69",5.60493933332626,-0.176532209270999,2.34475363743525,-0.075288169491484,0.939985434145219,0.977337843641776
"ACSL1_75",26.6093896456109,-1.30778119030757,0.760451944047623,-1.71974205673892,0.0854793393522713,0.276646101275256
"ACTB_80",1762.00893292849,-0.749225298674995,0.291276539917053,-2.57221298662897,0.0101050704047138,0.0640662450964218
"ACTBP9_82",0,NA,NA,NA,NA,NA
"ACTN2_90",0,NA,NA,NA,NA,NA
"ACTR10_93",165.363242943196,0.266785514976983,0.321713554612704,0.829264142439239,0.406954956440872,0.676156884482094
"ADAM10_102",1267.10825629085,0.306853916329081,0.301926797462084,1.01631891871941,0.309477542364349,0.589001253087626
"ADAM23_104",0,NA,NA,NA,NA,NA
"ADAMTS2_106",0,NA,NA,NA,NA,NA
"ADARB1_112",95.8591875815927,-0.381431278359518,0.294081006716118,-1.29702792648463,0.194621578169294,0.45657968934944
"ADAT1_113",4.14749904880507,-4.49062015125834,2.30741237288978,-1.94617147936774,0.0516341446440585,0.200032217668833
"COQ8A_114",115.187383463814,0.500043365729475,0.28192022078272,1.77370521469216,0.0761119234355728,0.25858129380808
"ADCY8_120",0,NA,NA,NA,NA,NA
"ADCY9_121",0,NA,NA,NA,NA,NA
"ADH1A_126",0,NA,NA,NA,NA,NA
"ADI1_135",167.343543985529,-0.859219209222055,0.380181111859981,-2.26002603080003,0.0238196353125709,0.117361893351004
"ADK_139",549.424990231457,-0.173342582232726,0.115834940561734,-1.4964619603732,0.134533313595869,0.368737770611866
"ADM_140",69.1764867827045,-0.27820648547254,0.271378773781252,-1.025159343143,0.305288008474282,0.583956850003373
"ADO_144",185.909202942473,-0.013038220488868,0.229783297811429,-0.0567413759531287,0.954751213846132,0.983117417018853
"ADORA1_145",0,NA,NA,NA,NA,NA
"ADORA2A_146",0,NA,NA,NA,NA,NA
"ADRA1A_148",0,NA,NA,NA,NA,NA
"ADRB2_151",104.141010596415,-0.400085195433101,0.474545608213378,-0.843091134989923,0.399177476326271,0.669751168424349
"GRK2_152",110.887402716121,-0.014093228711367,0.202298287664945,-0.0696655857745512,0.944459833778298,0.979009562521945
"ADSL_153",1.29178807329657,-2.80574535286885,3.80761764574295,-0.736876864725579,0.461197234325327,0.716559045501507
"AFAP1L2_156",187.114874587301,0.477457902562142,0.371078870587283,1.28667499123973,0.198207593379363,0.460332524494877
"AFMID_157",122.759167140663,0.422928583338401,0.225690874513381,1.87392859481044,0.060940267597984,0.224173127235441
"AFP_158",0,NA,NA,NA,NA,NA
"AGL_162",107.84910255467,1.01761546990753,0.23758446541898,4.28317343102787,1.84246444921391e-05,0.000508755396210599
"AGPAT2_163",145.692169622385,0.144087673360731,0.219719909978074,0.655778865807429,0.511966416448929,0.749667172816676
"GPAT3_164",0,NA,NA,NA,NA,NA
"AGRN_165",417.077130068771,-0.484700129626859,0.417329906850584,-1.16143157169035,0.24546643591135,0.51494122453815
"AGT_168",0,NA,NA,NA,NA,NA
"AGTR1_171",0,NA,NA,NA,NA,NA
"AGTRAP_173",40.1542669857065,0.551315812589777,0.660522134940302,0.834666672661326,0.403905411265158,0.673764065218409
"AIFM1_183",131.399964141432,-1.1382711374555,0.293323268678968,-3.88060293539581,0.000104197833256178,0.00202437047903994
"AIM2_184",0,NA,NA,NA,NA,NA
"AKAP17A_192",91.7696926393818,-0.125929275984864,0.400929628999649,-0.31409321456004,0.753450242946399,0.884040086096887
"AKAP8_195",1010.06347249082,0.131195960683242,0.269492883909707,0.486825324587044,0.626382122131154,0.822209687571368
"AKAP8L_196",11.0130974215763,-1.55366657285271,1.35611162895984,-1.14567749414876,0.251928619387387,0.523124739585521
"AKR1B1_197",227.16661693091,-0.473295252851413,0.397866490524952,-1.18958309916208,0.234210291815717,0.499619683609561
"AKR1C1_199",0,NA,NA,NA,NA,NA
"AKR1C3_203",79.634958570088,0.520418252968205,0.500651473015121,1.03948211683877,0.298580570872016,0.577321014418508
"AKR1D1_206",0,NA,NA,NA,NA,NA
"AKT1_210",262.47971293987,0.670511912022707,0.334796502420873,2.0027446737774,0.0452047010537119,0.182758614620169
"AKT2_211",93.646140331214,0.234700877177846,0.524901282656429,0.447133365706535,0.654778769422818,0.838783818928963
"AKT3_212",109.74251728171,0.804522317232445,0.385809159166531,2.08528568624567,0.0370433759292049,0.159611199471853
"ALB_217",0,NA,NA,NA,NA,NA
"ALDH18A1_218",31.4717116608116,-0.614215182498405,0.642728780866706,-0.955636655433647,0.339255835669139,0.618257054244689
"ALDH1A1_221",0,NA,NA,NA,NA,NA
"ALDH2_225",325.885704267401,0.291842987467413,0.241228460589652,1.20981988092964,0.226348015765181,0.489400606247662
"ALDH4A1_226",46.1283893630082,0.143021899322198,0.369620470551056,0.386942582235696,0.698798715812476,0.860796899220969
"ALDH7A1_227",6.50037141753871,-0.436825597627476,2.08423938520622,-0.20958513725824,0.833991480761434,0.923589166082591
"ALDH9A1_231",365.216226954649,0.138633036099342,0.244335922706556,0.567387040610635,0.570451252618467,0.790482773792057
"ALDOA_232",1323.37919469594,0.0430065789259965,0.166454078925205,0.258369030087399,0.796122115763057,0.904893398000784
"ALDOC_233",0,NA,NA,NA,NA,NA
"ALG11_234",92.7845814951245,0.0915703773239555,0.197148817028325,0.464473379572952,0.642308627561852,0.831390655285103
"ALG8_238",21.4037817646636,-1.98480316286555,0.717762952241503,-2.76526276073069,0.00568769601698287,0.0423980005217712
"ALPL_243",0,NA,NA,NA,NA,NA
"AMD1_247",144.779621547485,-1.30240017482415,0.367581104809619,-3.54316410115449,0.000395356603907802,0.00589085878934036
"AMDHD2_248",110.254039665956,1.12116654754941,0.366783471671314,3.05675319130552,0.00223748424962562,0.021621794930485
"AMMECR1L_253",79.812365908778,-0.274685147831191,0.216575740220412,-1.26830986495366,0.204687315535573,0.467846421454854
"AMY2A_256",0,NA,NA,NA,NA,NA
"AMZ2P1_262",0,NA,NA,NA,NA,NA
"ANAPC1_265",143.947194844709,-0.102479617423702,0.249475363997586,-0.410780510674769,0.681233485198635,0.853459097572417
"ANAPC11_266",52.3675289785896,-0.0176309700863089,0.304856208363648,-0.0578337248926147,0.953881074546805,0.982728604723079
"ANAPC5_271",218.835750897186,-0.474222878646736,0.160256945297069,-2.95914088320895,0.00308498030686727,0.0273475918186635
"ANKRD10_277",1238.75826759286,0.894358682422911,0.304126055656464,2.94074994821609,0.00327418725297657,0.0286758734045363
"ANKRD17_280",20.1497197181334,0.128786906895345,0.532548558174455,0.241831293913965,0.808910889437638,0.911842187105036
"ANKRD20A11P_282",8.2398146403979,1.70690536523406,1.7613631218009,0.969082038852294,0.332504258439035,0.612177651584877
"ANKRD20A17P_283",103.081234346681,1.2157468218584,0.57288114325385,2.12216239995823,0.0338241028183417,0.150637516488389
"ANKRD27_287",306.040608060006,0.361435920996653,0.248154385715756,1.45649620478863,0.145255498011472,0.387566992843931
"ANKRD36B_290",44.8035725626755,-0.352646176024496,0.455674052815711,-0.773900058266249,0.43898989514298,0.700430009190522
"ANO10_292",199.217170731081,0.196984025454585,0.215549729915578,0.913868115407683,0.360786149390761,0.637281403199017
"ANXA5_309",296.372829703858,0.772803851817498,0.516607311329886,1.49592124398722,0.134674179571129,0.368929135030369
"ANXA7_312",574.700447509,-0.382642386924045,0.223981688588248,-1.70836459594457,0.087568712250348,0.281234038006686
"AP1G1_316",0,NA,NA,NA,NA,NA
"AP1S1_318",1506.52178694429,0.120221589828306,0.263617764585666,0.456045100060918,0.6483575472412,0.834345070797411
"AP2A2_321",29.6167738595007,-0.576629009908086,0.58036632379627,-0.99356042255564,0.320436920313247,0.600222275122404
"AP2M1_322",13.5882481891286,-1.69020776460091,1.16688224838454,-1.4484818557664,0.147482336783055,0.390641277087579
"AP3B1_327",430.541935828132,-0.409869586812675,0.252575344442467,-1.62276166629573,0.104640363254922,0.312548362329662
